iter	RMSE
0	14.75668726
1	14.38249796
2	13.98796694
3	13.61865337
4	13.27723042
5	12.98998364
6	12.68865115
7	12.40228935
8	12.13585356
9	11.83905361
10	11.54799983
11	11.30738855
12	11.06228801
13	10.80438111
14	10.57191022
15	10.33768448
16	10.1199334
17	9.91654638
18	9.703633073
19	9.522254633
20	9.360168112
21	9.193132457
22	9.021565841
23	8.853401271
24	8.696516199
25	8.547672148
26	8.403671665
27	8.28447077
28	8.155291942
29	8.031668083
30	7.929580673
31	7.820269249
32	7.7121511
33	7.609941088
34	7.502169376
35	7.403412815
36	7.3118163
37	7.236531074
38	7.15221541
39	7.077567785
40	7.006677604
41	6.943819597
42	6.872908784
43	6.812270956
44	6.74749747
45	6.689792066
46	6.626793197
47	6.570609625
48	6.512229299
49	6.458188618
50	6.408039359
51	6.355254435
52	6.30799273
53	6.259166205
54	6.213704674
55	6.174599172
56	6.133027064
57	6.091921419
58	6.061415036
59	6.031018288
60	6.002428814
61	5.967215989
62	5.936765823
63	5.902287939
64	5.87228226
65	5.845204034
66	5.816455259
67	5.791310574
68	5.77099483
69	5.745501692
70	5.719962179
71	5.699087271
72	5.683067768
73	5.658595276
74	5.637138833
75	5.619802549
76	5.604692095
77	5.583955305
78	5.565870818
79	5.546503566
80	5.530117949
81	5.517987949
82	5.501562547
83	5.487652686
84	5.467652425
85	5.455697468
86	5.441950047
87	5.43175899
88	5.417127552
89	5.401524862
90	5.390145873
91	5.381381786
92	5.364436395
93	5.357628182
94	5.347633438
95	5.336413885
96	5.327521571
97	5.316766036
98	5.308235689
99	5.298911315
100	5.287833865
101	5.278847296
102	5.264901363
103	5.25291164
104	5.243730033
105	5.238699955
106	5.226887985
107	5.220003811
108	5.214491697
109	5.206326013
110	5.194772381
111	5.184843652
112	5.17802627
113	5.17401277
114	5.169353837
115	5.15985311
116	5.153662394
117	5.149118941
118	5.140713467
119	5.134367319
120	5.128680749
121	5.123437394
122	5.117876465
123	5.110231647
124	5.106560064
125	5.101483157
126	5.097955369
127	5.090578525
128	5.083323188
129	5.078710593
130	5.07078835
131	5.064276452
132	5.059585657
133	5.0543743
134	5.049984631
135	5.042876841
136	5.038395768
137	5.034805243
138	5.028871809
139	5.019906246
140	5.017335821
141	5.01311085
142	5.007938203
143	4.998890503
144	4.99332304
145	4.991040849
146	4.987988703
147	4.984262739
148	4.981174256
149	4.976941233
150	4.972686673
151	4.970891118
152	4.96442063
153	4.960844812
154	4.954344637
155	4.945622447
156	4.940384495
157	4.936467633
158	4.930775344
159	4.926405626
160	4.922808896
161	4.917726456
162	4.912807151
163	4.904847073
164	4.902137675
165	4.897421257
166	4.894219357
167	4.889020773
168	4.885879656
169	4.882059124
170	4.875715393
171	4.872731286
172	4.868003072
173	4.864516472
174	4.858317947
175	4.854468091
176	4.849053919
177	4.845524582
178	4.842583459
179	4.837051234
180	4.83299663
181	4.82873218
182	4.825433364
183	4.820940057
184	4.818885749
185	4.814062513
186	4.80995176
187	4.806498684
188	4.8019764
189	4.799346791
190	4.794685195
191	4.790584496
192	4.787751355
193	4.786450801
194	4.78330134
195	4.781339358
196	4.777611224
197	4.775017376
198	4.770069694
199	4.767567715
200	4.764415764
201	4.759244168
202	4.755503021
203	4.752501655
204	4.747308852
205	4.742138398
206	4.738606431
207	4.73507543
208	4.732180634
209	4.729213179
210	4.722384171
211	4.719460917
212	4.716519565
213	4.713759629
214	4.710998875
215	4.706352509
216	4.705010314
217	4.701426235
218	4.69394627
219	4.690335426
220	4.685120709
221	4.681607201
222	4.679794256
223	4.675476319
224	4.671446324
225	4.668907799
226	4.665610393
227	4.662882986
228	4.66110051
229	4.657998088
230	4.654866424
231	4.650244028
232	4.648336049
233	4.642215891
234	4.639925261
235	4.637577761
236	4.63280759
237	4.630566178
238	4.625136952
239	4.623741135
240	4.620992259
241	4.617141653
242	4.614171719
243	4.612429936
244	4.609211425
245	4.602637062
246	4.60032964
247	4.592071774
248	4.586011066
249	4.583219194
250	4.579542399
251	4.577428793
252	4.572778477
253	4.56656737
254	4.564249063
255	4.557531423
256	4.553323832
257	4.550179503
258	4.543298959
259	4.535847454
260	4.533489508
261	4.531290837
262	4.530544809
263	4.524456673
264	4.5228031
265	4.521542996
266	4.517881996
267	4.514525644
268	4.512736107
269	4.511982151
270	4.505599591
271	4.503166084
272	4.497825835
273	4.491773594
274	4.48637574
275	4.4794939
276	4.472918151
277	4.470749117
278	4.46756877
279	4.466170979
280	4.459973664
281	4.4592913
282	4.456990411
283	4.451421039
284	4.44678434
285	4.445282962
286	4.443699872
287	4.437390601
288	4.434748396
289	4.431550914
290	4.427057748
291	4.422161049
292	4.419761943
293	4.416188771
294	4.413882297
295	4.412567424
296	4.411308962
297	4.406673062
298	4.404133688
299	4.398748729
300	4.396877683
301	4.393515317
302	4.391565516
303	4.39038114
304	4.387360817
305	4.386946736
306	4.386273516
307	4.381632889
308	4.379181292
309	4.375758765
310	4.374350223
311	4.371512818
312	4.368293034
313	4.363617673
314	4.360438993
315	4.357748102
316	4.355036895
317	4.351393213
318	4.345804354
319	4.339252841
320	4.333701427
321	4.331978559
322	4.326713769
323	4.321453929
324	4.319490459
325	4.31709958
326	4.31666372
327	4.315138264
328	4.314496506
329	4.31232985
330	4.31190938
331	4.30982777
332	4.305427755
333	4.3024856
334	4.299315293
335	4.297250022
336	4.295042334
337	4.292653883
338	4.292008664
339	4.290202943
340	4.287009872
341	4.2834425
342	4.280724991
343	4.275944805
344	4.2735402
345	4.272306436
